운영기관ID,name,대표자명,전화번호
O0191,경상북도 의성군보건소,이선희,054-830-6660
O0192,청도군보건소,남중구,054-370-6470
O0193,청송군보건의료원,윤홍배,054-870-7341
O0194,칠곡군보건소,권정희,054-973-4000
O0195,거제시보건소,김영실,055-639-6226
O0196,거창군 보건소,이정헌,055-940-7910
O0197,경상남도 고성군 보건소,이상근,055-670-4851
O0198,경상남도 김해시 김해시보건소,,055-320-5961
O0199,남해군 보건소,곽기두,055-860-8791
O0200,마산보건소 건강관리과,이지련,055-225-5993
O0201,밀양시보건소,천재경,055-359-7086
O0202,사천시보건소,문지연,055-831-5860
O0203,산청군보건의료원,김솔,055-970-7647
O0204,양산시치매안심센터,김정미,055-392-5175
O0205,의령군보건소,조미경,055-570-4072
O0206,진주시보건소,황혜경,055-749-5778
O0207,창녕군보건소,권석규,055-530-7503
O0208,창원보건소 건강관리과,오재연,055-225-5794
O0209,경상남도 통영시,천영기,055-650-6100
O0210,경상남도 하동군 보건소,장성훈,055-880-6850
O0211,경상남도 함안군,박수귀,055-580-3240
O0212,함양군보건소,,055-960-5355
O0213,경상남도 합천군보건소,안명기,055-930-4091
O0214,구미시선산치매안심센터,이은주,054-480-4350
O0215,구미치매안심센터,이경문,054-480-4880
O0216,부천시보건소,송정원,032-625-4421
O0217,분당구보건소,구성수,031-729-8783
O0218,(의)롯데의료재단,김천주,031-739-3030
O0219,수정구보건소,강연하,031-729-3879
O0220,인천광역시 의료원,장석일,032-575-0019
O0221,대전서구보건소,조은숙,042-288-4470
O0222,남양주풍양보건소,이정미,031-590-8381
O0223,경기도 평택시청 송탄보건소,,031-8024-7257
O0224,경기도 평택시청 평택보건소 안중보건지소,,031-8024-8677
O0225,진해보건소 서부보건지소,강명구,055-225-6692
O0226,경기도 화성시 동부보건소,심정식,031-5189-4431
O0227,경기도 화성시 동탄보건소,문자,031-5189-4377
O0228,안산시 상록수보건소,이미경,031-481-5848
O0229,안산시 단원보건소,정영란,031-481-6541
O0230,경상남도 김해시 김해시서부보건소,,055-330-8391
O0231,전라남도 장성군,박보서,061-390-7161
O0232,전라남도 영광군,지경현,061-350-4806
O0233,전라남도 무안군,김성철,061-450-5075
O0234,전라남도 해남군,소은영,061-531-3703
O0235,전라남도 화순군,박미라,061-379-5317
O0236,전라남도 광양시,김복덕,061-797-4059
O0237,전라남도 나주시,강동렬,061-339-4771
O0238,전라남도 여수시,신준섭,061-659-5440
O0239,청주시 청원보건소,정주영,043-201-4377
O0240,청주시 흥덕보건소,홍정희,043-201-4333
O0241,청주시 서원보건소,권영권,043-201-3711
O0242,청주시 상당보건소,방영란,043-201-3637
O0243,충북대학교병원,김아련,043-269-6891
O0244,영통구보건소,이민희,031-5191-0824
O0245,팔달구보건소,최향란,031-5159-0630
O0246,경주시보건소,경주시보건소장(진병철),054-760-2950
O0247,함평군보건소,심화섭,061-320-2390
O0248,경기도 용인시 기흥구보건소,권봉정,031-6193-0369
O0249,경기도 용인시 수지구보건소,허선수,031-6193-0881
O0250,경기도 용인시 처인구보건소,강경신,031-6193-0199
O0251,인하대학교산학협력단,김주형,032-883-0310
O0252,구례군보건의료원,김윤길,061-780-2933
O0253,울주군보건소,유점숙,052-204-2878
O0254,전라남도,김영록,061-286-6042
O0255,일산서구보건소,이향숙,031-8075-4871
O0256,일산동구보건소,홍효명,031-8075-4850
O0257,담양군치매안심센터,김동진,061-380-2971
O0258,전남대학교병원,신일선,062-226-2181
O0259,전라남도 보성군보건소,김학성,061-850-8695
O0260,포항시북구보건소,,054-270-8951
O0261,포항시남구보건소,,054-270-8901
O0262,완도군보건의료원,김선종,061-550-5810
O0263,덕양구보건소,심평수,031-8075-4800
O0264,순천시보건소,김지식,061-749-8888
O0265,전라남도 곡성군청,,061-360-8981
O0266,대덕구보건소,김주연,042-608-4491
O0267,동구보건소,장선애,042-621-6011
O0268,강진군보건소,,061-430-5294
O0269,장흥군보건소,,061-860-6498
O0270,신안군보건소,김현희,061-240-8081
O0271,치매안심센터,최문형,061-470-6030
O0272,진도군보건소,이경희,061-540-6961
O0273,제주특별자치도 서귀포시 중문보건지소,현승호,064-760-6555
O0274,제주특별자치도 서귀포시 안덕보건지소,고행선,064-760-0975
O0275,동남구보건소,정정희,041-521-3343
O0276,서북구보건소,이현기,041-521-5740
O0277,예수병원,한명일,063-247-6082
O0278,제주특별자치도 서귀포시 동부보건소,강은아,064-760-6141
O0279,제주특별자치도 서귀포시 서귀포보건소,현승호,064-760-6555
O0280,제주특별자치도 서귀포시 서부보건소,고행선,064-760-6249
O0281,대전광역시 중구보건소,황효숙,042-288-8180
O0282,제주특별자치도 서귀포시 표선보건지소,강은아,064-760-6365
O0283,제주특별자치도 서귀포시 성산보건지소,강은아,064-760-6477
O0284,권선구보건소,조성신,031-5191-0425
O0285,장안구보건소,김정원,031-5191-0230
O0286,제주특별자치도 제주시 제주보건소,이민철,064-728-8490
O0287,동안구보건소,김순기,031-8045-6801
O0288,만안구보건소,한영자,031-8045-3038
O0289,세종특별자치시보건소,강민구,044-301-2000
O0290,전라남도 목포시 하당보건지소,김경희,061-270-4271
